# 外国高校名
# 教育部认证院校查询 https://www.smartedu.cn/home/servicehall?name=RZYXCX
# 
# 中文名称	外文名称	国家

萨尔茨堡高等专业学院	Fachhochschule Salzburg	奥地利
施泰尔马克师范学院	Pädagogische Hochschule Steiermark	奥地利
上奥地利州高等专业学院	Fachhochschule Oberösterreich Studienbetriebs GmbH	奥地利
斯文本科技大学	Swinburne University of Technology	澳大利亚
S P Jain全球管理学院	S P Jain School of Global Management	澳大利亚
斯道兹学院	Stotts Colleges	澳大利亚
桑瑞斯技术与继续教育学院	Sunraysia Institute of TAFE	澳大利亚
SAE创意媒体学院	SAE Creative Media Institute	澳大利亚
斯坦利学院	Stanley College	澳大利亚
沙希德拉巴尼教授教育大学	Shaheed Prof.Rabbani Education University	阿富汗
1955年8月20日斯基克达大学	Université 20 août 1955-Skikda	阿尔及利亚
赛义达穆莱·塔哈尔博士大学	Université de Saida Dr.Moulay Tahar	阿尔及利亚
斯库台大学	University of Shkodra "Luigj Gurakuqi"	阿尔巴尼亚
萨尔瓦多大学	Universidad del Salvador	阿根廷
圣安德烈斯大学	Universidad de San Andrés	阿根廷
沙迦美国大学	American University of Sharjah	阿联酋
石油学院	The Petroleum Institute	阿联酋
沙迦大学	University of Sharjah	阿联酋
坦塔大学	Tanta University	埃及
坦塔高等工程技术学院	Tanta Higher Institute of Engineering and Technology	埃及
塔斯马尼亚大学	University of Tasmania	澳大利亚
托伦斯大学	Torrens University Australia	澳大利亚
塔斯马尼亚技术与继续教育学院	TasTAFE	澳大利亚
泰勒学院	Taylors College	澳大利亚
塔尔图大学	University of Tartu	爱沙尼亚
塔林理工大学	Tallinn University of Technology	爱沙尼亚
塔林大学	Tallinn University	爱沙尼亚
塔哈尔大学	Takhar University	阿富汗
塔曼拉斯塞特大学中心	Centre Universitaire de Tamanrasset	阿尔及利亚
提济乌祖穆卢德·马迈里大学	Université Mouloud Mammeri de Tizi Ouzou	阿尔及利亚
托尔夸托•迪特拉大学	Universidad Torcuato Di Tella	阿根廷
五月十五日高等工程学院	Higher Institute of Engineering 15th of May	埃及
维也纳大学	Universität Wien	奥地利
维也纳医科大学	Medizinische Universität Wien	奥地利
维也纳音乐与艺术市立大学	Musik und Kunst Privatuniversität der Stadt Wien	奥地利
维也纳技术大学	Technische Universität Wien	奥地利
维也纳应用艺术大学	Universität für angewandte Kunst Wien	奥地利
维也纳农业大学	Universität für Bodenkultur Wien	奥地利
维也纳模都尔大学	Modul Universität Wien	奥地利
维也纳造型艺术学院	Akademie der Bildenden Künste Wien	奥地利
维也纳音乐与表演艺术大学	Universität für Musik und darstellende Kunst Wien	奥地利
维也纳技术高等专业学院	Fachhochschule Technikum Wien	奥地利
维也纳经济大学	Wirtschaftsuniversität Wien	奥地利
