# 反义词
# 整理自：
# https://github.com/guotong1988/chinese_dictionary
# http://fyc.5156edu.com
#
# 原始词	反义词

上涨	下跌
上涨	腾贵
上游	下游
上火	去火
上班	放工
上界	下界
上税	偷税
上税	免税
上税	抗税
上等	低等
上等货	珍贵品
上级	下级
上联	下联
上肢	下肢
上膘	掉膘
上行	下行
上行下效	源清流洁
上装	卸装
上课	下课
上车	下车
上边	下边
上进	堕落
上限	下限
上院	下院
上面	下面
上风	下风
上首	下首
上马	下马
下不为例	不乏先例
下不为例	不厌其烦
下世	来世
下乡	回城
下井投石	乐善好施
下台	登台
下品	低品
下意识	有意识
下手	主角
下流	高尚
下班	放工
下碇	起锚
下笔成章	江郎才尽
下笔淋漓	文不加点
下等	低等
下策	良策
下级	同级
下级	部下
下装	卸装
下贱	高贵
下跌	升涨
下里巴人	曲高和寡
下里巴人	阳春白雪
下野	在官
下雨	天晴
下马看花	蜻蜓点水
下马看花	走马看花
下马看花	走马观花
下马观花	细心吟味
下马观花	蜻蜓点水
不一而足	屈指可数
不久	好久
不义之财	不谋私利
不义之财	不谋私利劳动致富
不义之财	劳动致富
不乏其人	寥寥无几
不乏其人	屈指可数
不乏其人	满坑满谷
不事张扬	大事铺张
不二法门	歪门邪道
不亢不卑	低三下四
不亢不卑	趾高气扬
不亢不卑	高人一等
不仁不义	不念旧恶
不以为然	五体投地
不以为然	仰承鼻息
不以为然	顶礼膜拜
不伏手	伏手
不休	开始
不休	甘休
不便	麻烦
不修边幅	衣冠楚楚
不倦	疲倦
不倦	精神
不值	值得
不值得	值得
不假思索	左思右想
不假思索	慢条斯理
不假思索	深思熟虑
不假思索	犹豫不决
不偏不倚	畸轻畸重
不偏不倚	耸人听闻
不停	停止
不允	允诺
不允	唯诺
不光	仅仅
不入虎穴，焉得虎子	胆小如鼠
不公	偏袒
不公	偏见
不公	公允
不共戴天	亲同手足
不共戴天	亲同手足亲密无间
不共戴天	亲如手足
不共戴天	亲密无间
不关	相关
不关痛痒	切肤之痛
不关痛痒	唇齿相依
不关痛痒	息息相关
不关痛痒	血肉相连
不决	决定
不准	反对
不凡	平凡
不出所料	出乎意料
不出所料	出人意料
不出所料	出人意表
不出所料	出其不意
不分皁白	是非分明
不分皂白	明辨是非
不分皂白	黑白分明
不分胜负	决一死战
不分胜负	决一雌雄
不分轩轾	权衡轻重
不分青红皂白	是非分明
不分青红皂白	黑白分明
不刊之论	不经之谈
不刊之论	似是而非
不刊之论	无稽之谈
不利	有利
不力	得力
不务正业	埋头苦干
不务正业	奋发有为
不动声色	声色俱厉
不动声色	惊恐万分
不动声色	惊恐万状
不动声色	惊惶失措
不动声色	若有所失
不动声色	虚张声势
不劳而获	徒劳无功
不劳而获	自食其力
不卑不亢	低声下气
不卑不亢	俯首听命
不卑不亢	俯首帖耳
不卑不亢	俯首贴耳
不卑不亢	唯唯诺诺
不卑不亢	委曲求全
不即不离	寸步不离
不厌其详	语焉不详
不及	超过
不及	过之
不可	可以
不可企及	后来居上
不可企及	青出于蓝
不可多得	多如牛毛
不可多得	比比皆是
不可开交	分崩离析
不可思议	可想而知
不可思议	情有可原
不可或缺	多此一举
不可收拾	旭日东升
不可收拾	蒸蒸日上
不可救药	医药罔效
不可救药	药到病除
不可救药	起死回生
不可磨灭	昙花一现
不可终日	处之泰然
不可终日	安如泰山
不可胜数	寥寥无几
不可胜数	屈指可数
不可逾越	后来居上
不合	非宜
不合时宜	因时制宜
不吉	吉祥
不吉	祸兆
不同	例外
不同	相同
不同凡响	不过尔尔
不名一文	腰缠十万
不名一钱	腰缠万贯
不吝指教	骄傲自满
不和	和睦
不在话下	大书特书
不在话下	鞭长莫及
不均	平衡
不堪一击	举世无敌
不堪一击	固若金汤
不堪一击	坚如磐石
不堪一击	壁垒森严
不堪一击	攻无不克
不堪一击	无坚不摧
不堪一击	颠扑不破
不堪入目	赏心悦目
不堪入耳	余音绕梁
不堪入耳	娓娓动听
不堪入耳	珠圆玉润
不堪回首	喜出望外
不堪回首	大喜过望
不堪设想	安然无恙
不堪设想	相安无事
不堪造就	大器晚成
不堪造就	大有可为
不声不响	大喊大叫
不如	落後
不妥	失当
不妨	妨碍
不学无术	博古通今
不学无术	博大精深
不学无术	博学多才
不学无术	博闻强记
不学无术	博闻强识
不学无术	多才多艺
不学无术	手不释卷
不学无术	真才实学
不学无术	腹笥甚窘
不安	安心
不安	操
不安分	守分
不定	未必
不宜	相宜
不宜	适宜
不实	虚假
不容	禁止
不容置疑	无稽之谈
不容置疑	荒诞不经
不寒而栗	临危不惧
不寒而栗	无所畏惧
不对	正确
不尴不尬	泰然自若
不尽人情	人之常情
不屈	反抗
不屈不挠	卑躬屈膝
不屈不挠	奴颜婢膝
不屑	值得
不屑一顾	举足轻重
不屑一顾	刮目相看
不屑一顾	垂涎三尺
不巧	凑巧
不巧	正好
不巧	赶巧
不差累黍	短斤缺两
不常	偶然
不幸	幸运
不当	失当
不得不发	盘马弯弓
不得不发引而不发	盘马弯弓
不得人心	口碑载道
不得人心	深得人心
不得而知	了如指掌
不得而知	洞若观火
不得要领	提纲挈领
不必	必须
不必	无须
不快	欢快
不忮不求	多多益善
不念旧恶	睚眦必报
不思悔改	痛改前非
不思悔改	闭门思过
不思悔改积重难返	痛改前非
不急之务	当务之急
不急之务	燃眉之急
不恤人言	谨言慎行
不惑之年	豆蔻年华
不惜	鄙弃
不惮其烦	不胜其烦
不惯	习惯
不愧屋漏	不欺暗室
不愧屋漏	暗室可欺
不愿	愿意
不慌不忙	如饥似渴
不慌不忙	惊慌失措
不慌不忙	手忙脚
不慌不忙	手忙脚手忙脚乱
不懂	陌生
不成体统	循规蹈矩
不打自招	居心叵测
不打自招	屈打成招
不拘	限制
不拘一格	如出一辙
不拘小节	慷慨解囊
不拘小节	缩手缩脚
不拘小节	谨小慎微
不拘小节	锱铢必较
不择食	挑肥拣瘦
不择食舍己为人	挑肥拣瘦
不振	低沉
不攻自破	至当不移
不攻自破	颠扑不破
不教而诛	仁至义尽
不教而诛	谆谆教诲
不敢	胆敢
不文不武	得心应手
不料	意外
不料	意料
不断	中止
不时	偶尔
不明	了然
不明真相	洞烛其奸
不易之论	不经之谈
不易之论	无稽之谈
不显身手	不露身手
不曾	曾经
不服	信服
不期而然	意料之中
不期而遇	失之交臂
不朽	磨灭
不欢而散	济济一堂
不欺暗室	暗室欺心
不毛	富庶
不毛之地	极乐世界
不毛之地	沃野千里
不毛之地	鱼米之乡
不求甚解	切磋琢磨
不求甚解	寻根究底
不法	违法
不满	无餍
不满	满意
不满	知足
不满	贪心
不爽	爽快
不甘	甘心
不甘寂寞	不闻不问
不甘寂寞	默默无闻
不甘後人	甘居中游
不甘示弱	不甘雌服
不甘示弱	甘拜下风
不甘落後	标新立异
不甘雌伏	甘拜下风
不甘食贫	安贫乐道
不用	必须
不由分说	强词夺理
不由分说	无理取闹
不由自主	独立自主
不留余地	养痈成患
不留余地	养痈遗患
不疾不徐	过犹不及
不痛不痒	死去活来
不白之冤	真相大白
不相上下	天差地远
不相上下	并行不悖
不相上下	无与伦比
不相上下	无可比拟
不相上下	迥然不同
不相上下	黯然失色
不相为谋	以邻为壑
不相为谋	切磋琢磨
不相往来	息息相通
不相往来漠不关心	息息相通
不相闻问	声气相通
不省人事	耳聪目明
不省人事	通情达理
不矜不伐	妄自尊大
不矜不伐	自高自大
不知不觉	先知先觉
不知不觉	惊天动地
不知凡几	如数家珍
不知所云	出口成章
不知所以	老马识途
不破不立	倒行逆施
不破不立	老调重弹
不确	偏差
不祥	吉利
不移	转变
不端	歪邪
不端	端正
不第	落榜
不等	相等
不经一事，不长一智	痴学不悟
不经一事，不长一智	痴学不悟顽固不化
不经一事，不长一智	顽固不化
不结实	牢固
不绝如缕	牢不可破
不绝如缕	龙吟虎啸
不翼而飞	原封不动
不翼而飞	合浦珠还
不翼而飞	失而复得
不耻下问	好为人师
不耻下问	师心自用
不耻下问	神气活现
不耻下问	自高自大
不肖	忤逆
不肖子孙	孝子贤孙
不肯	愿意
不胜枚举	屈指可数
不胜枚举	聊胜于无
不胫而走	秘而不宣
不能	可以
不能	能够
不自量力	力所不及
不自量力	度德量力
不自量力	蚍蜉撼树
不自量力	量力而行
不自量力	量才录用
不苛	讲究
不苛自然	拘束
不苟	随便
不苟	马虎
不苟言笑	嬉皮笑脸
不苟言笑	手舞足蹈
不苟言笑	油腔滑调
不苟言笑	谈笑风生
不苟言笑	道貌岸然
不苟言谈	高谈阔论
不落窠臼	按图索骥
不虚此行	徒劳往返
不行	可行
不衫不履	衣冠楚楚
不衫不履	规行矩步
不要	必要
不见天日	重见天日
不见经传	引经据典
不见经传	胡说八道
不见薪新	明察暗访
不言不语	绘影绘声
不言而喻	强词夺理
不言而喻	扑朔迷离
不言而喻	模棱两可
不计	礼让
不计其数	寥寥无几
不计其数	屈指可数
不计其数	聊胜于无
不讳	忌讳
不许	准许
不论	辩论
不识大体	顾全大局
不识抬举	感恩戴德
不识时务	审时度势
不该	应该
不详	详尽
不败之地	百战不殆
不足	充分
不足	已足
不足	无厌
不足	有余
不足	足够
不足	过剩
不足为奇	大惊小怪
不足为奇	数一数二
不足为奇	难能可贵
不足挂齿	举足轻重
不足挂齿	有口皆碑
不辞劳苦	好逸恶劳
不辞劳苦	拈轻怕重
不辞而别	不速之客
不辞辛劳	四体不勤，五谷不分
不辞辛劳	好逸恶劳
不辞辛劳	摩顶放踵
不辞辛劳孜孜不倦	四体不勤，五谷不分
不辞辛劳艰苦卓绝	好逸恶劳
不辨菽麦	博学多才
不辨菽麦	学富五车
不近人情	入情入理
不近人情	合情合理
不近人情	悖理违情
不近人情	通情达理
不近情理	强词夺理
不近情理	通力合作
不近情理名行其事	通力合作
不进则退	勇往直前
不远千里	近在咫尺
不适	健康
不适	适应
不遗余力	留有余地
不配	和谐
不问不闻	搅三搅四
不问青红皂白	是非分明
不问青红皂白	泾渭分明
不闻不问	明知故问
不雅	难看
不雅	雅观
不雅观	雅观
不露圭角	崭露头角
不露圭角	锋芒毕露
不露声色	义形於色
不露声色	勃然变色
不露声色	大张旗鼓
不露声色	情不自禁
不露身手	显露头角
不露锋芒	锋芒毕露
不顾	多虑
不高兴	高兴
不齿	尊重
与世浮沉	超然物外
与人为善	六亲不认
与人为善	嫁祸于人
与人为善	杀人不见血
与人为善	欺人太甚
与日俱增	每况愈下
与民争利	拔葵去织
与虎谋皮	行之有效
丑	俊
丑	美
丑化	美化
丑名	美誉
丑声远播	名垂千古
丑妇	美人
丑态百出	威风凛凛
丑态百出	婀娜多姿
丑恶	善良
丑恶	美好
丑恶	艳丽
丑拙	老丑
丑极	艳绝
丑陋	优美
丑陋	俊俏
丑陋	俏丽
丑陋	娟秀
丑陋	标致
丑陋	漂亮
丑陋	秀丽
丑陋	美丽
丑陋	美观
丑陋	英俊
专一	反覆
专一	纯粹
专业	业余
专业	副业
专修	兼修
专制	共和
专制	民主
专心	分心
专心致志	心不在焉
专心致志	漫不经心
专心致志	见异思迁
专政	民主
专横	谦恭
专横跋扈	彬彬有礼
专横跋扈	谦谦君子
专用	兼用
专用	通用
专程	顺便
专程	顺道
专职	兼职
专职本职	兼职
专营	兼营
专诚	特地
专门	捎带
专门	附带
专门	顺便
专顾	兼顾
世交	世仇
世代相传	旷古绝伦
世外桃源	人间地狱
世故	天真
世故	纯真
世间	阴间
世风日下	移风移俗
世风日下	蒸蒸日上
业精于勤	玩物丧志
东	西
东侧	西侧
东倒西歪	井井有条
东北	西南
东半球	西半球
东南	西北
东山再起	冰消瓦解
东山再起	息影园林
东岸	西岸
东张西望	目不转睛
东扶西倒	挥洒自如
东拉西扯	丝丝入扣
东拉西扯	断断续续
东拉西扯	有条不紊
东摇西摆	稳如磐石
东方	西方
东洋	西洋
东窗事发	秘而不宣
东端	西端
东道	宾客
东郊	西郊
东部	西部
东门	西门
东面	西面
东风	西风
东风化雨	暴风骤雨
东首	西首
东鳞西爪	包罗万象
东鳞西爪	原原本本
东鳞西爪	完好无缺
东鳞西爪	浑然一体
丝丝入扣	乱成一团
丝丝入扣	乱成一团一团乱麻
丢	拾
丢三落四	谨小慎微
丢丑	丢脸
丢丑	争光
丢人	光彩
丢弃	拾取
丢弃	珍藏
丢盔卸甲	旗开得胜
丢盔卸甲	横扫千军
丢脸	争脸
丢脸	体面
丢脸	难看
丢脸	露脸
两全	分身
两全其美	两败俱伤
两全其美	玉石俱焚
两头	中间
两相情愿	大相径庭
两袖清风	宦囊饱满
两袖清风	诛求无已
两袖清风	贪得无厌
两袖清风	贪赃枉法
两败俱伤	玉石俱焚
两败俱伤	相得益彰
严	宽
严冬	伏暑
严冬	炎暑
严冬	盛暑
严冬	酷暑
严厉	和蔼
严厉	慈祥
严厉	柔和
严厉	温和
严守	违背
严密	严整
严密	松散
严寒	暖和
严寒	温暖
严寒	炎热
严寒	酷暑
严寒	酷热
严峻	和气
严惩	宽贷
严惩	宽饶
严惩不贷	姑息养奸
严整	纷乱
严明	旺盛
严格	宽容
严格	苟且
严正	姑息
严正	随便
严热	酷暑
严肃	活泼
严肃	滑稽
严肃	轻浮
严肃	郑重
严肃	随和
严肃不苟	放纵不羁
严肃认真	肤皮潦草
严酷	平和
严重	轻微
严阵以待	麻木不仁
严阵以待	麻痹大意
丧事	喜事
丧命	健在
丧命	获救
丧失	博得
丧失	获得
丧尽天良	大慈大悲
丧心病狂	平心静气
丧心病狂	心平气和
丧服	凶服
丧服	喜服
丧权辱国	光宗耀祖
丧气	鼓舞
丧胆	无畏
丧魂落魄	泰然自若
丧魂落魄	若无其事
丧魂落魄	镇静自若
丧魂落魄	镇静自若泰然自若
个人	团体
个人	大家
个人	组织
个人	集体
个人主义	集体主义
个体	总体
个体	群体
个别	普遍
个展	联展
个性	共性
中	洋
中	西
中举	落第
中伤	谗间
中兴	中落
中兴	破落
中医	西医
中听	难听
中国画	西洋画
中央	四周
中央	角落
中央	边缘
中学	西学
中年	童年
中庸之道	偏听偏信
中心	周围
中心	边缘
中断	延续
中断	持续
中断	继续
中断	赓续
中断	陆续
中服	西服
中标	投标
中正	极端
中毒	解毒
中流砥柱	擎天柱石
中流砥柱	擎天柱石随波逐流
中流砥柱	随波逐流
中立国	交战国
中药	西药
中落	中衰
中转	直达
中靶	脱靶
中餐	西餐
丰	歉
丰产	歉收
丰功伟绩	奇耻大辱
丰功伟绩	弥天大罪
丰厚	菲薄
丰富	匮乏
丰富	单调
丰富	缺乏
丰富	贫乏
丰富	贫瘠
丰富	足够
丰富多彩	单调平凡
丰年	歉岁
丰年	歉年
丰年	荒年
丰收	歉收
丰收	荒歉
丰收	饥馑
丰沛	稀少
丰润	憔悴
丰满	发胀
丰满	干瘦
丰满	干瘪
丰满	枯瘦
丰盈	干瘦
丰盛	匮乏
丰盛	匮缺
丰盛	短缺
丰美	枯萎
丰腴	苗条
丰衣足食	啼饥号寒
丰衣足食	嗷嗷待哺
丰衣足食	家徒四壁
丰衣足食	缺吃少穿
丰衣足食	艰难竭蹶
丰衣足食	饥寒交迫
丰裕	贫困
丰足	贫乏
丰饶	贫乏
丰饶	贫瘠
临了	後来
临了	终末
临危不惧	临阵脱逃
临危不惧	如临大敌
临危不惧	惊惶失措
临危不惧	惊慌失措
临时	固定
临时	常久
临时	长期
临深履薄	孟浪轻狂
临渴掘井	常备不懈
